knn3: 1; 4; [[4.]]; [[1. 4. 4.]]; [[188996. 196178. 198240.]]
knn5: 24; 24; [[24.]]; [[24. 24. 24. 30. 25.]]; [[499868. 517332. 862854. 870996. 891592.]]
knn7: 24; 24; [[24.]]; [[24. 24. 24. 30. 25. 15. 30.]]; [[499868. 517332. 862854. 870996. 891592. 913678. 915764.]]
knn3: 25; 25; [[25.]]; [[25. 25. 25.]]; [[ 59124. 151860. 161292.]]
knn5: 25; 25; [[25.]]; [[25. 25. 25. 25. 25.]]; [[ 59124. 151860. 161292. 165510. 238608.]]
knn7: 25; 25; [[25.]]; [[25. 25. 25. 25. 25. 13. 25.]]; [[ 59124. 151860. 161292. 165510. 238608. 253602. 296406.]]
knn3: 26; 26; [[26.]]; [[26. 26. 26.]]; [[53228. 60688. 64130.]]
knn5: 26; 26; [[26.]]; [[26. 26. 26. 26.  3.]]; [[ 53228.  60688.  64130.  64296. 115486.]]
knn7: 26; 26; [[26.]]; [[26. 26. 26. 26.  3. 12. 26.]]; [[ 53228.  60688.  64130.  64296. 115486. 118346. 121358.]]
knn3: 27; 27; [[27.]]; [[27. 27. 27.]]; [[31006. 50370. 74928.]]
knn5: 27; 27; [[27.]]; [[27. 27. 27. 11. 11.]]; [[ 31006.  50370.  74928. 125250. 166936.]]
knn7: 27; 27; [[27.]]; [[27. 27. 27. 11. 11. 27. 11.]]; [[ 31006.  50370.  74928. 125250. 166936. 187718. 205270.]]
knn3: 28; 28; [[28.]]; [[28. 28. 28.]]; [[36232. 53524. 53598.]]
knn5: 28; 28; [[28.]]; [[28. 28. 28. 28. 36.]]; [[36232. 53524. 53598. 73846. 91462.]]
knn7: 28; 28; [[28.]]; [[28. 28. 28. 28. 36.  7. 14.]]; [[ 36232.  53524.  53598.  73846.  91462. 123626. 142574.]]
knn3: 29; 29; [[29.]]; [[29. 29. 29.]]; [[ 46436.  53042. 139280.]]
knn5: 29; 29; [[29.]]; [[29. 29. 29. 22. 38.]]; [[ 46436.  53042. 139280. 141678. 141780.]]
knn7: 29; 29; [[29.]]; [[29. 29. 29. 22. 38. 38. 29.]]; [[ 46436.  53042. 139280. 141678. 141780. 153320. 164360.]]
knn3: 30; 29; [[29.]]; [[30. 29. 29.]]; [[ 84932. 124700. 128386.]]
knn5: 30; 29; [[29.]]; [[30. 29. 29. 15. 33.]]; [[ 84932. 124700. 128386. 140840. 149644.]]
knn7: 30; 15; [[15.]]; [[30. 29. 29. 15. 33. 15. 30.]]; [[ 84932. 124700. 128386. 140840. 149644. 152682. 157408.]]
knn3: 31; 21; [[21.]]; [[33. 21. 31.]]; [[ 92318. 143292. 147210.]]
knn5: 31; 30; [[30.]]; [[33. 21. 31. 30. 30.]]; [[ 92318. 143292. 147210. 150332. 178418.]]
knn7: 31; 30; [[30.]]; [[33. 21. 31. 30. 30. 21. 30.]]; [[ 92318. 143292. 147210. 150332. 178418. 180690. 183200.]]
knn3: 32; 27; [[27.]]; [[27. 27. 27.]]; [[137910. 191150. 207870.]]
knn5: 32; 27; [[27.]]; [[27. 27. 27. 39. 17.]]; [[137910. 191150. 207870. 223362. 250866.]]
knn7: 32; 27; [[27.]]; [[27. 27. 27. 39. 17. 27. 16.]]; [[137910. 191150. 207870. 223362. 250866. 258088. 273180.]]
knn3: 33; 33; [[33.]]; [[33. 33. 22.]]; [[50986. 59726. 62138.]]
knn5: 33; 22; [[22.]]; [[33. 33. 22. 22. 22.]]; [[50986. 59726. 62138. 69908. 78598.]]
knn7: 33; 22; [[22.]]; [[33. 33. 22. 22. 22. 22. 22.]]; [[50986. 59726. 62138. 69908. 78598. 87716. 88558.]]
knn3: 34; 34; [[34.]]; [[34. 34. 34.]]; [[ 99916. 238326. 311018.]]
knn5: 34; 34; [[34.]]; [[34. 34. 34. 34. 34.]]; [[ 99916. 238326. 311018. 389202. 516744.]]
knn7: 34; 34; [[34.]]; [[34. 34. 34. 34. 34. 34. 31.]]; [[ 99916. 238326. 311018. 389202. 516744. 567340. 597272.]]
knn3: 35; 35; [[35.]]; [[35. 35. 13.]]; [[46786. 65376. 73060.]]
knn5: 35; 13; [[13.]]; [[35. 35. 13. 13. 40.]]; [[ 46786.  65376.  73060.  75436. 105576.]]
knn7: 35; 13; [[13.]]; [[35. 35. 13. 13. 40. 35. 13.]]; [[ 46786.  65376.  73060.  75436. 105576. 121348. 136248.]]
knn3: 36; 36; [[36.]]; [[36. 20. 36.]]; [[ 66186. 114134. 119716.]]
knn5: 36; 20; [[20.]]; [[36. 20. 36. 20. 20.]]; [[ 66186. 114134. 119716. 124540. 160612.]]
knn7: 36; 20; [[20.]]; [[36. 20. 36. 20. 20. 39. 39.]]; [[ 66186. 114134. 119716. 124540. 160612. 169538. 173284.]]
knn3: 37; 37; [[37.]]; [[37. 37. 28.]]; [[ 78462.  84704. 112934.]]
knn5: 37; 28; [[28.]]; [[37. 37. 28. 28. 23.]]; [[ 78462.  84704. 112934. 122032. 168072.]]
knn7: 37; 37; [[37.]]; [[37. 37. 28. 28. 23. 37.  7.]]; [[ 78462.  84704. 112934. 122032. 168072. 183710. 186008.]]
knn3: 38; 38; [[38.]]; [[38. 38. 38.]]; [[59166. 61154. 67936.]]
knn5: 38; 38; [[38.]]; [[38. 38. 38. 29. 22.]]; [[ 59166.  61154.  67936.  99306. 103186.]]
knn7: 38; 22; [[22.]]; [[38. 38. 38. 29. 22. 22. 22.]]; [[ 59166.  61154.  67936.  99306. 103186. 111194. 114994.]]
knn3: 39; 39; [[39.]]; [[39. 39. 39.]]; [[64340. 86632. 95292.]]
knn5: 39; 39; [[39.]]; [[39. 39. 39.  4. 39.]]; [[ 64340.  86632.  95292. 119600. 120714.]]
knn7: 39; 39; [[39.]]; [[39. 39. 39.  4. 39.  4.  9.]]; [[ 64340.  86632.  95292. 119600. 120714. 123832. 123980.]]
knn3: 40; 26; [[26.]]; [[26. 18. 26.]]; [[167760. 175036. 199552.]]
knn5: 40; 26; [[26.]]; [[26. 18. 26. 26. 40.]]; [[167760. 175036. 199552. 209726. 213428.]]
knn7: 40; 26; [[26.]]; [[26. 18. 26. 26. 40. 26. 40.]]; [[167760. 175036. 199552. 209726. 213428. 214458. 226236.]]
